id,name,code,level,description,jurisdiction,region,address,contact_info,presiding_judge,established_date,is_active,created_at,updated_at,created_by,updated_by
1,Supreme Court,SC,supreme_court,The highest court in Ghana,Constitutional matters and appeals,Greater Accra,"Supreme Court Building, Accra",,Chief Justice,1957-03-06 00:00:00,True,2025-09-24 21:20:48.677281+00:00,,test_admin,test_admin
2,Court of Appeal,CA,court_of_appeal,"Second highest court in Ghana, handles appeals from High Courts",Appeals from High Courts and Circuit Courts,Greater Accra,"Court of Appeal Building, Accra",,President of the Court of Appeal,1960-07-01 00:00:00,True,2025-09-24 21:31:28.702126+00:00,,test_admin,test_admin
3,High Court,HC,high_court,Superior court of record with unlimited jurisdiction,"Civil and criminal matters, constitutional issues",Greater Accra,"High Court Building, Accra",,Chief Judge of the High Court,1957-03-06 00:00:00,True,2025-09-24 21:31:41.923112+00:00,,test_admin,test_admin
4,Circuit Court,CC,circuit_court,Intermediate court handling serious criminal and civil cases,Serious criminal offences and civil cases up to specified amounts,Greater Accra,"Circuit Court Building, Accra",,Circuit Court Judge,1960-01-01 00:00:00,True,2025-09-24 21:31:51.975835+00:00,,test_admin,test_admin
5,District Court,DC,district_court,Lower court handling minor criminal and civil matters,Minor criminal offences and civil cases,Greater Accra,"District Court Building, Accra",,District Court Magistrate,1960-01-01 00:00:00,True,2025-09-24 21:31:57.107420+00:00,,test_admin,test_admin
6,Magistrate Court,MC,magistrate_court,Lowest court in the hierarchy handling petty cases,Petty criminal offences and small civil claims,Greater Accra,"Magistrate Court Building, Accra",,Magistrate,1960-01-01 00:00:00,True,2025-09-24 21:32:02.110030+00:00,,test_admin,test_admin
7,High Court Kumasi,HC-K,high_court,High Court serving the Ashanti Region,Civil and criminal matters in Ashanti Region,Ashanti,"High Court Building, Kumasi",,Regional High Court Judge,1960-01-01 00:00:00,True,2025-09-24 21:32:08.826841+00:00,,test_admin,test_admin
8,Circuit Court Tamale,CC-T,circuit_court,Circuit Court serving the Northern Region,Serious criminal and civil cases in Northern Region,Northern,"Circuit Court Building, Tamale",,Circuit Court Judge,1960-01-01 00:00:00,True,2025-09-24 21:32:14.117237+00:00,,test_admin,test_admin
9,District Court Takoradi,DC-TK,district_court,District Court serving the Western Region,Minor criminal and civil matters in Western Region,Western,"District Court Building, Takoradi",,District Court Magistrate,1960-01-01 00:00:00,True,2025-09-24 21:32:20.197829+00:00,,test_admin,test_admin
10,Commercial Court,COM,high_court,Specialized High Court handling commercial disputes,"Commercial disputes, contract matters, business litigation",Greater Accra,"Commercial Court Building, Accra",,Commercial Court Judge,2005-01-01 00:00:00,True,2025-09-24 21:32:25.227372+00:00,,test_admin,test_admin
